sample_id	tissue_type
SRS016200	G_DNA_Supragingival plaque
SRS016196	G_DNA_Buccal mucosa
SRS052874	G_DNA_Buccal mucosa
SRS053603	G_DNA_Tongue dorsum
SRS047100	G_DNA_Supragingival plaque
SRS019894	G_DNA_Tongue dorsum
SRS019906	G_DNA_Supragingival plaque
SRS019872	G_DNA_Buccal mucosa
SRS018661	G_DNA_Buccal mucosa
SRS018665	G_DNA_Supragingival plaque
SRS018739	G_DNA_Tongue dorsum
SRS019219	G_DNA_Tongue dorsum
SRS019221	G_DNA_Buccal mucosa
SRS019225	G_DNA_Supragingival plaque
SRS016319	G_DNA_Tongue dorsum
SRS016331	G_DNA_Supragingival plaque
SRS016297	G_DNA_Buccal mucosa
SRS018591	G_DNA_Tongue dorsum
SRS045197	G_DNA_Supragingival plaque
SRS018569	G_DNA_Buccal mucosa
SRS051791	G_DNA_Tongue dorsum
SRS043803	G_DNA_Buccal mucosa
SRS018573	G_DNA_Supragingival plaque
SRS018791	G_DNA_Tongue dorsum
SRS018778	G_DNA_Supragingival plaque
SRS019333	G_DNA_Supragingival plaque
SRS019327	G_DNA_Tongue dorsum
SRS019329	G_DNA_Buccal mucosa
SRS062878	G_DNA_Hard palate
SRS019387	G_DNA_Supragingival plaque
SRS065335	G_DNA_Throat
SRS019389	G_DNA_Tongue dorsum
SRS019391	G_DNA_Buccal mucosa
SRS019587	G_DNA_Buccal mucosa
SRS019607	G_DNA_Tongue dorsum
SRS019591	G_DNA_Supragingival plaque
SRS056323	G_DNA_Tongue dorsum
SRS054653	G_DNA_Supragingival plaque
SRS058808	G_DNA_Supragingival plaque
SRS049389	G_DNA_Tongue dorsum
SRS050628	G_DNA_Buccal mucosa
SRS022530	G_DNA_Tongue dorsum
SRS022532	G_DNA_Buccal mucosa
SRS065431	G_DNA_Buccal mucosa
SRS022536	G_DNA_Supragingival plaque
SRS063288	G_DNA_Tongue dorsum
SRS065099	G_DNA_Supragingival plaque
SRS048719	G_DNA_Buccal mucosa
SRS057791	G_DNA_Tongue dorsum
SRS045254	G_DNA_Buccal mucosa
SRS051244	G_DNA_Supragingival plaque
SRS057539	G_DNA_Tongue dorsum
